id,date,time,spicy,cold,coffee,soda,alcohol,mlik,water,greens,lactobacillus
hae,2019-08-02,19:00,0,0,0,0,0,1,0,0,0
hae,2019-08-02,22:20,0,1,0,0,0,0,600,1,0
hae,2019-08-03,21:20,2,1,0,0,0,0,1000,1,0
hae,2019-08-03,11:20,0,1,1,0,0,0,0,0,0
hae,2019-08-03,12:10,0,1,0,1,0,0,0,1,0
hae,2019-08-03,15:00,0,0,0,0,0,0,0,0,0
hae,2019-08-04,18:40,2,0,0,0,0,0,500,0,0
hae,2019-08-04,9:20,0,1,1,0,0,0,0,0,0
hae,2019-08-05,10:30,0,0,0,0,0,0,0,0,0
hae,2019-08-05,12:40,0,1,1,0,0,0,700,1,0
hae,2019-08-06,17:00,2,0,0,1,0,0,0,1,0
hae,2019-08-06,12:00,0,0,0,0,0,0,300,0,0
hae,2019-08-06,21:00,0,0,0,0,1,0,0,0,0
hae,2019-08-06,23:00,0,0,0,0,0,0,1000,0,0
hae,2019-08-07,20:00,3,1,0,1,0,0,1300,0,0
hae,2019-08-07,11:30,0,0,0,0,0,0,0,0,0
hae,2019-08-07,15:00,0,1,1,0,0,0,0,0,0
hae,2019-08-08,18:00,3,0,0,1,0,0,0,1,0
hae,2019-08-08,12:00,0,0,0,0,0,0,0,1,0
hae,2019-08-08,23:00,0,1,0,0,0,0,700,0,0
hae,2019-08-09,10:00,0,1,1,0,0,0,0,0,0
hae,2019-08-09,12:30,0,0,0,0,0,0,0,1,0
hae,2019-08-09,20:00,0,0,0,1,0,0,1100,1,0
hae,2019-08-10,18:40,2,1,0,1,0,0,1000,0,0
hae,2019-08-10,1:00,0,1,0,1,0,0,0,0,0
hae,2019-08-10,13:00,0,0,0,0,0,0,0,1,0
hae,2019-08-11,13:00,0,1,0,1,0,0,0,0,0
hae,2019-08-11,20:00,0,1,0,0,0,0,800,0,0
hae,2019-08-12,10:30,0,1,0,0,0,0,0,0,0
hae,2019-08-12,12:00,0,0,0,0,0,0,0,0,0
hae,2019-08-12,15:00,0,1,1,0,0,0,0,0,0
hae,2019-08-12,20:00,0,0,0,0,0,0,1500,0,0
hae,2019-08-13,12:30,0,1,1,0,0,0,0,0,0
hae,2019-08-13,19:00,0,1,0,0,0,1,1000,0,0
hae,2019-08-14,12:30,0,1,0,1,0,0,0,1,0
hae,2019-08-14,15:00,0,0,0,0,0,0,0,0,0
hae,2019-08-14,22:00,0,0,0,0,1,0,1000,1,0
hae,2019-08-15,13:30,0,1,1,0,0,0,0,1,0
hae,2019-08-15,19:00,0,0,0,0,0,0,0,1,0
hae,2019-08-16,12:00,0,1,1,0,0,0,800,1,0
hae,2019-08-17,18:20,2,1,0,1,0,0,0,0,0
hae,2019-08-17,13:30,0,1,1,0,0,0,800,0,0
hae,2019-08-18,13:00,2,0,0,0,0,0,0,0,0
hae,2019-08-18,1:00,0,1,0,1,1,0,0,0,0
hae,2019-08-18,15:00,0,1,1,0,0,0,0,0,0
hae,2019-08-18,20:00,0,1,0,0,0,0,1300,1,0
hae,2019-08-19,12:00,1,1,1,0,0,0,500,0,0
hae,2019-08-19,20:00,0,1,0,1,0,0,0,0,0
hae,2019-08-19,23:00,0,0,0,0,0,0,1000,1,0
hae,2019-08-20,12:00,0,1,1,0,0,0,0,0,0
hae,2019-08-20,19:20,3,0,0,0,0,0,0,1,0
hae,2019-08-20,20:30,0,1,1,0,0,0,900,0,0
