id,date,time,spicy,cold,coffee,soda,alcohol,mlik,water,greens,lactobacillus
squirrel,2019-08-02,20:00,2,0,0,0,0,0,500,0,0
squirrel,2019-08-03,8:40,0,0,0,0,0,0,200,1,0
squirrel,2019-08-03,10:40,0,0,0,0,0,0,0,0,0
squirrel,2019-08-03,15:00,0,0,0,0,0,0,200,0,0
squirrel,2019-08-03,20:20,0,0,0,0,0,0,0,0,0
squirrel,2019-08-03,19:30,3,0,0,0,0,0,200,0,0
squirrel,2019-08-03,12:20,1,1,0,0,0,0,200,0,0
squirrel,2019-08-04,18:30,0,1,0,0,0,1,0,0,0
squirrel,2019-08-04,13:20,0,1,1,0,0,1,0,0,0
squirrel,2019-08-04,17:30,2,1,0,0,1,0,200,1,0
squirrel,2019-08-04,13:00,1,0,0,0,0,0,400,0,0
squirrel,2019-08-05,8:20,0,0,0,0,0,1,0,0,0
squirrel,2019-08-05,19:30,0,1,0,0,0,0,200,1,0
squirrel,2019-08-05,13:30,0,0,0,0,0,0,300,0,0
squirrel,2019-08-06,8:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-06,11:00,0,0,0,0,0,0,200,0,0
squirrel,2019-08-06,14:00,0,0,0,0,0,0,0,1,0
squirrel,2019-08-06,17:00,1,1,0,1,0,1,200,1,0
squirrel,2019-08-07,11:30,0,0,0,0,0,0,300,1,0
squirrel,2019-08-07,15:00,0,0,0,0,0,0,400,0,0
squirrel,2019-08-07,19:00,0,1,0,1,0,0,0,0,0
squirrel,2019-08-07,22:00,0,1,0,0,0,0,0,1,0
squirrel,2019-08-08,8:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-08,21:00,0,1,0,1,0,1,0,1,0
squirrel,2019-08-08,12:00,1,0,0,0,0,0,500,1,0
squirrel,2019-08-09,16:30,0,1,1,0,0,1,0,0,0
squirrel,2019-08-09,12:00,1,0,0,0,0,0,200,0,0
squirrel,2019-08-09,8:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-09,20:00,0,1,0,0,0,0,0,1,0
squirrel,2019-08-10,23:00,0,1,0,0,0,1,0,0,0
squirrel,2019-08-10,16:00,2,0,0,0,0,0,200,0,0
squirrel,2019-08-10,10:00,1,0,0,0,0,0,0,0,0
squirrel,2019-08-11,9:00,0,1,0,0,0,1,0,0,0
squirrel,2019-08-11,21:00,2,1,0,1,0,0,500,1,0
squirrel,2019-08-11,12:00,1,1,0,0,0,0,300,0,0
squirrel,2019-08-12,11:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-12,13:30,0,0,0,0,0,1,0,0,0
squirrel,2019-08-12,14:00,0,1,0,0,0,0,0,0,0
squirrel,2019-08-12,18:00,0,0,0,0,0,0,700,1,0
squirrel,2019-08-13,8:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-13,10:00,0,0,0,0,0,0,300,1,0
squirrel,2019-08-13,12:00,1,0,0,0,0,0,200,0,0
squirrel,2019-08-13,21:00,3,0,0,0,0,1,0,1,0
squirrel,2019-08-14,8:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-14,15:00,0,0,0,0,0,0,0,0,0
squirrel,2019-08-14,11:30,1,0,0,0,0,1,200,1,0
squirrel,2019-08-14,20:00,1,1,0,0,0,0,300,1,0
squirrel,2019-08-15,21:00,0,1,0,0,0,1,0,1,0
squirrel,2019-08-15,14:30,3,1,0,0,0,1,0,1,0
squirrel,2019-08-15,10:00,1,0,0,0,0,0,300,0,0
squirrel,2019-08-16,8:20,0,0,0,0,0,0,200,0,0
squirrel,2019-08-16,21:00,1,0,0,0,0,0,300,0,0
squirrel,2019-08-16,19:30,0,1,0,0,0,1,0,0,0
squirrel,2019-08-17,14:20,2,0,0,0,0,0,0,0,0
squirrel,2019-08-17,10:00,0,0,0,0,0,0,0,1,0
squirrel,2019-08-17,21:00,0,1,0,0,0,0,500,0,0
squirrel,2019-08-18,12:30,0,0,0,0,0,0,0,0,0
squirrel,2019-08-18,14:30,0,1,1,0,0,1,0,0,0
squirrel,2019-08-18,18:00,0,1,0,0,0,0,0,1,0
squirrel,2019-08-19,8:00,0,0,0,0,0,1,0,0,0
squirrel,2019-08-19,12:00,0,1,0,1,0,0,0,0,0
squirrel,2019-08-19,17:00,0,0,0,0,0,0,0,0,0
squirrel,2019-08-20,8:00,0,0,0,0,0,1,0,1,0
squirrel,2019-08-20,8:00,0,0,0,0,0,1,0,1,0
squirrel,2019-08-20,12:00,0,1,0,0,0,0,500,0,0
squirrel,2019-08-20,20:30,0,1,0,0,0,0,0,1,0
